geo_code,geo_name,fy,obligated_amount,population,per_capita
CA,California,2008,50023413684.65,39538223.0,1265.1912475846475
CA,California,2009,82716730195.72,39538223.0,2092.07000010395
CA,California,2010,55358284930.71,39538223.0,1400.1207118162595
CA,California,2011,75194293908.79,39538223.0,1901.8126815863725
CA,California,2012,70470640588.74,39538223.0,1782.342129759853
CA,California,2013,81801510171.23,39538223.0,2068.922272283962
CA,California,2014,71770637124.86,39538223.0,1815.2216179482825
CA,California,2015,61309525882.01,39538223.0,1550.6393871573339
CA,California,2016,81780673553.94,39538223.0,2068.395272947396
CA,California,2017,84386375295.44,39538223.0,2134.298632880896
CA,California,2018,78560158356.22,39538223.0,1986.942062525673
CA,California,2019,80116194551.97,39538223.0,2026.2973010185613
CA,California,2020,111654702011.88,39538223.0,2823.9686445159664
CA,California,2021,107515628667.15,39538223.0,2719.2832785416276
CA,California,2022,115908286317.11,39538223.0,2931.5502195713248
CA,California,2023,114721742517.96,39538223.0,2901.5401758940966
CA,California,2024,125284853514.65,39538223.0,3168.702182560152
CO,Colorado,2008,6619751666.27,5773714.0,1146.532659267501
CO,Colorado,2009,10456602840.41,5773714.0,1811.0704548943713
CO,Colorado,2010,8430982235.41,5773714.0,1460.2355148540437
CO,Colorado,2011,9552237508.28,5773714.0,1654.4355172909502
CO,Colorado,2012,10085759483.96,5773714.0,1746.8408521724489
CO,Colorado,2013,10110286595.16,5773714.0,1751.088916970948
CO,Colorado,2014,9724343191.15,5773714.0,1684.2440050113323
CO,Colorado,2015,10031102883.75,5773714.0,1737.3743977879749
CO,Colorado,2016,10745752667.24,5773714.0,1861.1508410773376
CO,Colorado,2017,11454908668.53,5773714.0,1983.9757682022353
CO,Colorado,2018,11833947444.18,5773714.0,2049.624807217677
CO,Colorado,2019,12586292217.33,5773714.0,2179.9299752862717
CO,Colorado,2020,15261884650.17,5773714.0,2643.3392180786927
CO,Colorado,2021,16435696263.04,5773714.0,2846.6419124743625
CO,Colorado,2022,17489694864.23,5773714.0,3029.1931440022836
CO,Colorado,2023,17824896114.84,5773714.0,3087.2495788395477
CO,Colorado,2024,20070011596.49,5773714.0,3476.100755335301
CT,Connecticut,2008,6658290411.52,3605944.0,1846.4763766492215
CT,Connecticut,2009,10699193710.79,3605944.0,2967.0992424702104
CT,Connecticut,2010,7147293376.17,3605944.0,1982.0866259071133
CT,Connecticut,2011,8833679026.37,3605944.0,2449.7549119925325
CT,Connecticut,2012,14058475792.64,3605944.0,3898.6949860119844
CT,Connecticut,2013,17556095325.76,3605944.0,4868.654456575032
CT,Connecticut,2014,17913396719.01,3605944.0,4967.74124029935
CT,Connecticut,2015,16032048021.3,3605944.0,4446.005822968964
CT,Connecticut,2016,22127463735.03,3605944.0,6136.385849317127
CT,Connecticut,2017,17139105041.4,3605944.0,4753.014756025052
CT,Connecticut,2018,15006481420.59,3605944.0,4161.595804202728
CT,Connecticut,2019,22168987203.74,3605944.0,6147.901133167903
CT,Connecticut,2020,22523562465.43,3605944.0,6246.231906382905
CT,Connecticut,2021,25087463871.25,3605944.0,6957.252766889891
