fy,quarter,budget_function_code,budget_function_name,budget_subfunction_code,budget_subfunction_name,amount,total
2017,3,400,Transportation,403,Water transportation,8596431923.52,
2017,3,400,Transportation,407,Other transportation,932765277.76,
2017,3,450,Community and Regional Development,451,Community development,9333486188.58,
2017,3,450,Community and Regional Development,452,Area and regional development,3211364551.24,
2017,3,450,Community and Regional Development,453,Disaster relief and insurance,11498566710.92,
2017,3,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",25594917494.21,
2017,3,500,"Education, Training, Employment, and Social Services",502,Higher education,58255693193.17,
2017,3,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,1629075942.98,
2017,3,500,"Education, Training, Employment, and Social Services",504,Training and employment,6779675974.32,
2017,3,500,"Education, Training, Employment, and Social Services",505,Other labor services,1731898216.79,
2017,3,500,"Education, Training, Employment, and Social Services",506,Social services,12191740636.44,
2017,3,550,Health,551,Health care services,458016630620.54,
2017,3,550,Health,552,Health research and training,24979361974.61,
2017,3,550,Health,554,Consumer and occupational health and safety,5088380803.44,
2017,3,570,Medicare,571,Medicare,774575964926.71,
2017,3,600,Income Security,601,General retirement and disability insurance (excluding social se,17351066926.67,
2017,3,600,Income Security,602,Federal employee retirement and disability,111419761173.99,
2017,3,600,Income Security,603,Unemployment compensation,25887726439.35,
2017,3,600,Income Security,604,Housing assistance,33233694387.62,
2017,3,600,Income Security,605,Food and nutrition assistance,77394851749.24,
2017,3,600,Income Security,609,Other income security,158249683869.02,
2017,3,650,Social Security,651,Social security,745540351124.4,
2017,3,700,Veterans Benefits and Services,701,Income security for veterans,65798811945.67,
2017,3,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",10730217785.3,
2017,3,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,55883163445.42,
2017,3,700,Veterans Benefits and Services,704,Veterans housing,956415717.93,
2017,3,700,Veterans Benefits and Services,705,Other veterans benefits and services,9006894014.18,
2017,3,750,Administration of Justice,751,Federal law enforcement activities,34384466803.2,
2017,3,750,Administration of Justice,752,Federal litigative and judicial activities,7309719292.6,
2017,3,750,Administration of Justice,753,Federal correctional activities,5949831233.7,
2017,3,750,Administration of Justice,754,Criminal justice assistance,2473471994.23,
2017,3,800,General Government,801,Legislative functions,436599374.86,
2017,3,800,General Government,802,Executive direction and management,317496181.02,
2017,3,800,General Government,803,Central fiscal operations,299768254054.67,
2017,3,800,General Government,804,General property and records management,19662456218.3,
2017,3,800,General Government,805,Central personnel management,29841791537.49,
2017,3,800,General Government,806,General purpose fiscal assistance,5384469106.22,
2017,3,800,General Government,808,Other general government,3035332734.31,
2017,3,900,Net Interest,901,Interest on Treasury debt securities (gross),375632204975.65,
2017,3,900,Net Interest,908,Other interest,8395903165.62,
2017,4,000,Governmental Receipts,000,Governmental Receipts,0.0,
2017,4,050,National Defense,051,Department of Defense-Military,808266488348.25,
2017,4,050,National Defense,053,Atomic energy defense activities,24801950622.33,
2017,4,050,National Defense,054,Defense-related activities,98286942740.28,
2017,4,150,International Affairs,151,International development and humanitarian assistance,28242715049.75,
