fy,quarter,budget_function_code,budget_function_name,budget_subfunction_code,budget_subfunction_name,amount,total
2018,4,250,"General Science, Space, and Technology",251,General science and basic research,15103832697.79,
2018,4,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",22688191392.43,
2018,4,270,Energy,271,Energy supply,13268251036.98,
2018,4,270,Energy,272,Energy conservation,2549352587.53,
2018,4,270,Energy,274,Emergency energy preparedness,706017148.94,
2018,4,270,Energy,276,"Energy information, policy, and regulation",1979361646.51,
2018,4,300,Natural Resources and Environment,301,Water resources,29920732943.17,
2018,4,300,Natural Resources and Environment,302,Conservation and land management,18274341271.89,
2018,4,300,Natural Resources and Environment,303,Recreational resources,5400705877.83,
2018,4,300,Natural Resources and Environment,304,Pollution control and abatement,11661187513.74,
2018,4,300,Natural Resources and Environment,306,Other natural resources,11797660896.12,
2018,4,350,Agriculture,351,Farm income stabilization,21308046007.47,
2018,4,350,Agriculture,352,Agricultural research and services,7254792387.67,
2018,4,370,Commerce and Housing Credit,371,Mortgage credit,21479010985.21,
2018,4,370,Commerce and Housing Credit,373,Deposit insurance,3251030390.52,
2018,4,370,Commerce and Housing Credit,376,Other advancement of commerce,32317971936.04,
2018,4,400,Transportation,401,Ground transportation,66081251355.24,
2018,4,400,Transportation,402,Air transportation,36561894480.46,
2018,4,400,Transportation,403,Water transportation,12115751423.46,
2018,4,400,Transportation,407,Other transportation,1476863256.95,
2018,4,450,Community and Regional Development,451,Community development,13529134095.48,
2018,4,450,Community and Regional Development,452,Area and regional development,23884881434.06,
2018,4,450,Community and Regional Development,453,Disaster relief and insurance,47262028639.8,
2018,4,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",42295398050.44,
2018,4,500,"Education, Training, Employment, and Social Services",502,Higher education,52260482531.03,
2018,4,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,2125971719.34,
2018,4,500,"Education, Training, Employment, and Social Services",504,Training and employment,9596115420.57,
2018,4,500,"Education, Training, Employment, and Social Services",505,Other labor services,2264135512.25,
2018,4,500,"Education, Training, Employment, and Social Services",506,Social services,20924062106.82,
2018,4,550,Health,551,Health care services,644901181954.56,
2018,4,550,Health,552,Health research and training,43686035028.66,
2018,4,550,Health,554,Consumer and occupational health and safety,7874501468.23,
2018,4,570,Medicare,571,Medicare,1059508772649.84,
2018,4,600,Income Security,601,General retirement and disability insurance (excluding social se,24144948049.63,
2018,4,600,Income Security,602,Federal employee retirement and disability,152818728313.34,
2018,4,600,Income Security,603,Unemployment compensation,31905564224.15,
2018,4,600,Income Security,604,Housing assistance,58921018404.99,
2018,4,600,Income Security,605,Food and nutrition assistance,100579395971.75,
2018,4,600,Income Security,609,Other income security,179972696580.94,
2018,4,650,Social Security,651,Social security,1039099908076.79,
2018,4,700,Veterans Benefits and Services,701,Income security for veterans,94490388288.7,
2018,4,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",13945730507.96,
2018,4,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,83097082773.86,
2018,4,700,Veterans Benefits and Services,704,Veterans housing,1198224626.62,
2018,4,700,Veterans Benefits and Services,705,Other veterans benefits and services,12996820776.51,
2018,4,750,Administration of Justice,751,Federal law enforcement activities,49896923983.68,
2018,4,750,Administration of Justice,752,Federal litigative and judicial activities,10047727607.26,
2018,4,750,Administration of Justice,753,Federal correctional activities,8147919326.15,
2018,4,750,Administration of Justice,754,Criminal justice assistance,8416154419.65,
2018,4,800,General Government,801,Legislative functions,609766549.93,
2018,4,800,General Government,802,Executive direction and management,535125307.26,
2018,4,800,General Government,803,Central fiscal operations,346246323476.84,
2018,4,800,General Government,804,General property and records management,29332338381.74,
2018,4,800,General Government,805,Central personnel management,45344428618.16,
2018,4,800,General Government,806,General purpose fiscal assistance,7429393820.65,
2018,4,800,General Government,808,Other general government,2704341799.44,
2018,4,900,Net Interest,901,Interest on Treasury debt securities (gross),521553461024.26,
2018,4,900,Net Interest,908,Other interest,13558807971.43,
2019,1,000,Governmental Receipts,000,Governmental Receipts,0.0,
2019,1,050,National Defense,051,Department of Defense-Military,259754188914.25,
2019,1,050,National Defense,053,Atomic energy defense activities,15662000809.88,
2019,1,050,National Defense,054,Defense-related activities,96062349749.69,
2019,1,150,International Affairs,151,International development and humanitarian assistance,3274947717.39,
2019,1,150,International Affairs,152,International security assistance,1562603815.95,
2019,1,150,International Affairs,153,Conduct of foreign affairs,4188518945.59,
2019,1,150,International Affairs,154,Foreign information and exchange activities,209825116.47,
2019,1,150,International Affairs,155,International financial programs,25977621107.5,
2019,1,250,"General Science, Space, and Technology",251,General science and basic research,1872248663.83,
2019,1,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",4573650788.99,
2019,1,270,Energy,271,Energy supply,1623676562.16,
2019,1,270,Energy,272,Energy conservation,259701885.58,
2019,1,270,Energy,274,Emergency energy preparedness,82906150.51,
2019,1,270,Energy,276,"Energy information, policy, and regulation",378353906.16,
2019,1,300,Natural Resources and Environment,301,Water resources,7870321581.63,
2019,1,300,Natural Resources and Environment,302,Conservation and land management,2746834140.12,
2019,1,300,Natural Resources and Environment,303,Recreational resources,740304752.56,
2019,1,300,Natural Resources and Environment,304,Pollution control and abatement,1494851136.21,
2019,1,300,Natural Resources and Environment,306,Other natural resources,1695627101.56,
2019,1,350,Agriculture,351,Farm income stabilization,13445729335.26,
2019,1,350,Agriculture,352,Agricultural research and services,1049674218.21,
2019,1,370,Commerce and Housing Credit,371,Mortgage credit,58323156.1,
2019,1,370,Commerce and Housing Credit,373,Deposit insurance,863642146.58,
2019,1,370,Commerce and Housing Credit,376,Other advancement of commerce,5718313835.08,
2019,1,400,Transportation,401,Ground transportation,5987890624.96,
2019,1,400,Transportation,402,Air transportation,8251367271.33,
2019,1,400,Transportation,403,Water transportation,3556721664.91,
2019,1,400,Transportation,407,Other transportation,318578356.17,
2019,1,450,Community and Regional Development,451,Community development,1072963145.95,
2019,1,450,Community and Regional Development,452,Area and regional development,974873908.08,
2019,1,450,Community and Regional Development,453,Disaster relief and insurance,7914971232.86,
2019,1,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",23942087405.37,
2019,1,500,"Education, Training, Employment, and Social Services",502,Higher education,1681570125.43,
2019,1,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,697812852.62,
2019,1,500,"Education, Training, Employment, and Social Services",504,Training and employment,4433677555.97,
2019,1,500,"Education, Training, Employment, and Social Services",505,Other labor services,631380998.48,
2019,1,500,"Education, Training, Employment, and Social Services",506,Social services,6885306727.62,
2019,1,550,Health,551,Health care services,160042134763.12,
2019,1,550,Health,552,Health research and training,6276851665.92,
2019,1,550,Health,554,Consumer and occupational health and safety,1861358651.88,
2019,1,570,Medicare,571,Medicare,273180031194.15,
2019,1,600,Income Security,601,General retirement and disability insurance (excluding social se,6029923625.36,
2019,1,600,Income Security,602,Federal employee retirement and disability,38599370921.25,
2019,1,600,Income Security,603,Unemployment compensation,8749931767.57,
2019,1,600,Income Security,604,Housing assistance,11495302760.17,
2019,1,600,Income Security,605,Food and nutrition assistance,27936686391.18,
2019,1,600,Income Security,609,Other income security,37213357472.37,
2019,1,650,Social Security,651,Social security,270988863288.42,
2019,1,700,Veterans Benefits and Services,701,Income security for veterans,25961186705.93,
2019,1,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",4164025963.58,
2019,1,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,21291900149.2,
2019,1,700,Veterans Benefits and Services,704,Veterans housing,108049813.07,
2019,1,700,Veterans Benefits and Services,705,Other veterans benefits and services,3579396316.84,
2019,1,750,Administration of Justice,751,Federal law enforcement activities,10686909787.49,
2019,1,750,Administration of Justice,752,Federal litigative and judicial activities,2422536228.39,
2019,1,750,Administration of Justice,753,Federal correctional activities,1854389227.63,
2019,1,750,Administration of Justice,754,Criminal justice assistance,1853605552.24,
2019,1,800,General Government,801,Legislative functions,167857037.86,
2019,1,800,General Government,802,Executive direction and management,102331234.08,
2019,1,800,General Government,803,Central fiscal operations,42074822675.79,
2019,1,800,General Government,804,General property and records management,7519558725.91,
2019,1,800,General Government,805,Central personnel management,11144085764.27,
2019,1,800,General Government,806,General purpose fiscal assistance,2076526894.39,
2019,1,800,General Government,808,Other general government,835967979.08,
2019,1,900,Net Interest,901,Interest on Treasury debt securities (gross),164221395737.97,
2019,1,900,Net Interest,908,Other interest,3135745344.64,
2019,2,000,Governmental Receipts,000,Governmental Receipts,0.0,
2019,2,050,National Defense,051,Department of Defense-Military,487162703644.36,
2019,2,050,National Defense,053,Atomic energy defense activities,21090750438.85,
2019,2,050,National Defense,054,Defense-related activities,99024851346.1,
2019,2,150,International Affairs,151,International development and humanitarian assistance,8504621313.5,
2019,2,150,International Affairs,152,International security assistance,4938667392.46,
2019,2,150,International Affairs,153,Conduct of foreign affairs,9677684580.25,
2019,2,150,International Affairs,154,Foreign information and exchange activities,559533210.78,
2019,2,150,International Affairs,155,International financial programs,35008328842.17,
2019,2,250,"General Science, Space, and Technology",251,General science and basic research,6073152608.63,
2019,2,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",10654026924.92,
2019,2,270,Energy,271,Energy supply,5330295035.48,
2019,2,270,Energy,272,Energy conservation,801675198.81,
2019,2,270,Energy,274,Emergency energy preparedness,147982077.43,
2019,2,270,Energy,276,"Energy information, policy, and regulation",842658274.17,
2019,2,300,Natural Resources and Environment,301,Water resources,13074392207.21,
2019,2,300,Natural Resources and Environment,302,Conservation and land management,5838607610.67,
2019,2,300,Natural Resources and Environment,303,Recreational resources,1584668886.02,
2019,2,300,Natural Resources and Environment,304,Pollution control and abatement,3512212251.34,
2019,2,300,Natural Resources and Environment,306,Other natural resources,3813526523.97,
2019,2,350,Agriculture,351,Farm income stabilization,21907757637.45,
2019,2,350,Agriculture,352,Agricultural research and services,2813869831.1,
2019,2,370,Commerce and Housing Credit,371,Mortgage credit,877957433.41,
2019,2,370,Commerce and Housing Credit,373,Deposit insurance,1553907137.66,
2019,2,370,Commerce and Housing Credit,376,Other advancement of commerce,11694184129.14,
2019,2,400,Transportation,401,Ground transportation,15590541394.22,
2019,2,400,Transportation,402,Air transportation,20475324668.3,
2019,2,400,Transportation,403,Water transportation,6443753862.08,
2019,2,400,Transportation,407,Other transportation,599792802.38,
2019,2,450,Community and Regional Development,451,Community development,1857022634.68,
2019,2,450,Community and Regional Development,452,Area and regional development,8777585503.93,
2019,2,450,Community and Regional Development,453,Disaster relief and insurance,12310606163.55,
2019,2,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",24425449583.03,
2019,2,500,"Education, Training, Employment, and Social Services",502,Higher education,6928381714.69,
2019,2,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,1198867241.11,
2019,2,500,"Education, Training, Employment, and Social Services",504,Training and employment,5231143559.08,
2019,2,500,"Education, Training, Employment, and Social Services",505,Other labor services,1241008817.57,
2019,2,500,"Education, Training, Employment, and Social Services",506,Social services,11222353516.91,
2019,2,550,Health,551,Health care services,351328962854.96,
2019,2,550,Health,552,Health research and training,16311008702.61,
2019,2,550,Health,554,Consumer and occupational health and safety,3738809930.09,
2019,2,570,Medicare,571,Medicare,554116782823.63,
2019,2,600,Income Security,601,General retirement and disability insurance (excluding social se,12154949165.4,
2019,2,600,Income Security,602,Federal employee retirement and disability,78216541657.38,
2019,2,600,Income Security,603,Unemployment compensation,17455095300.0,
2019,2,600,Income Security,604,Housing assistance,26115395929.99,
2019,2,600,Income Security,605,Food and nutrition assistance,51036878492.07,
2019,2,600,Income Security,609,Other income security,132201498559.26,
2019,2,650,Social Security,651,Social security,544181267424.36,
2019,2,700,Veterans Benefits and Services,701,Income security for veterans,51373485296.14,
2019,2,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",8073845156.67,
2019,2,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,41399248422.18,
2019,2,700,Veterans Benefits and Services,704,Veterans housing,316498397.43,
2019,2,700,Veterans Benefits and Services,705,Other veterans benefits and services,7011534747.33,
2019,2,750,Administration of Justice,751,Federal law enforcement activities,21713937039.35,
2019,2,750,Administration of Justice,752,Federal litigative and judicial activities,5482285158.0,
2019,2,750,Administration of Justice,753,Federal correctional activities,3975438224.14,
2019,2,750,Administration of Justice,754,Criminal justice assistance,2525965681.34,
2019,2,800,General Government,801,Legislative functions,315257412.4,
2019,2,800,General Government,802,Executive direction and management,202815359.94,
2019,2,800,General Government,803,Central fiscal operations,182914302808.07,
2019,2,800,General Government,804,General property and records management,14543417115.03,
2019,2,800,General Government,805,Central personnel management,23010941069.94,
2019,2,800,General Government,806,General purpose fiscal assistance,3379472027.86,
2019,2,800,General Government,808,Other general government,1176802101.9,
2019,2,900,Net Interest,901,Interest on Treasury debt securities (gross),259687244918.83,
2019,2,900,Net Interest,908,Other interest,6147393295.09,
2019,3,000,Governmental Receipts,000,Governmental Receipts,0.0,
2019,3,050,National Defense,051,Department of Defense-Military,690270693933.99,
2019,3,050,National Defense,053,Atomic energy defense activities,24842682591.45,
2019,3,050,National Defense,054,Defense-related activities,102033897041.96,
2019,3,150,International Affairs,151,International development and humanitarian assistance,17416936711.51,
2019,3,150,International Affairs,152,International security assistance,6681264324.64,
2019,3,150,International Affairs,153,Conduct of foreign affairs,15184647264.84,
2019,3,150,International Affairs,154,Foreign information and exchange activities,1055113562.16,
2019,3,150,International Affairs,155,International financial programs,46499208917.21,
2019,3,250,"General Science, Space, and Technology",251,General science and basic research,9409759033.58,
2019,3,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",17127222409.02,
2019,3,270,Energy,271,Energy supply,9955181930.27,
2019,3,270,Energy,272,Energy conservation,1445075913.97,
2019,3,270,Energy,274,Emergency energy preparedness,228455507.32,
2019,3,270,Energy,276,"Energy information, policy, and regulation",1318093684.16,
2019,3,300,Natural Resources and Environment,301,Water resources,18958106309.8,
2019,3,300,Natural Resources and Environment,302,Conservation and land management,10817639434.68,
2019,3,300,Natural Resources and Environment,303,Recreational resources,3120070090.34,
2019,3,300,Natural Resources and Environment,304,Pollution control and abatement,5960964739.97,
2019,3,300,Natural Resources and Environment,306,Other natural resources,6316123604.29,
2019,3,350,Agriculture,351,Farm income stabilization,24024085675.38,
2019,3,350,Agriculture,352,Agricultural research and services,4990579978.06,
2019,3,370,Commerce and Housing Credit,371,Mortgage credit,4959883676.39,
2019,3,370,Commerce and Housing Credit,373,Deposit insurance,2271990455.96,
2019,3,370,Commerce and Housing Credit,376,Other advancement of commerce,25168300118.04,
2019,3,400,Transportation,401,Ground transportation,34401374007.8,
2019,3,400,Transportation,402,Air transportation,27083596104.6,
2019,3,400,Transportation,403,Water transportation,10023164830.94,
2019,3,400,Transportation,407,Other transportation,955069923.71,
2019,3,450,Community and Regional Development,451,Community development,2325143571.2,
2019,3,450,Community and Regional Development,452,Area and regional development,17172698044.58,
2019,3,450,Community and Regional Development,453,Disaster relief and insurance,17183399560.37,
2019,3,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",24946555111.43,
2019,3,500,"Education, Training, Employment, and Social Services",502,Higher education,48273662269.52,
2019,3,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,1709485364.29,
2019,3,500,"Education, Training, Employment, and Social Services",504,Training and employment,7560331165.94,
2019,3,500,"Education, Training, Employment, and Social Services",505,Other labor services,1819033071.81,
2019,3,500,"Education, Training, Employment, and Social Services",506,Social services,14701793455.41,
2019,3,550,Health,551,Health care services,499386413880.88,
2019,3,550,Health,552,Health research and training,29043126453.09,
2019,3,550,Health,554,Consumer and occupational health and safety,5887188378.08,
2019,3,570,Medicare,571,Medicare,865833175067.77,
2019,3,600,Income Security,601,General retirement and disability insurance (excluding social se,17953381659.48,
2019,3,600,Income Security,602,Federal employee retirement and disability,117883559386.93,
2019,3,600,Income Security,603,Unemployment compensation,24011263432.75,
2019,3,600,Income Security,604,Housing assistance,51929410716.77,
2019,3,600,Income Security,605,Food and nutrition assistance,73691778922.98,
2019,3,600,Income Security,609,Other income security,169481279698.31,
2019,3,650,Social Security,651,Social security,819597168656.0,
2019,3,700,Veterans Benefits and Services,701,Income security for veterans,77213925883.91,
2019,3,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",10954478837.37,
2019,3,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,61340056625.2,
2019,3,700,Veterans Benefits and Services,704,Veterans housing,361996170.66,
2019,3,700,Veterans Benefits and Services,705,Other veterans benefits and services,10024587254.66,
2019,3,750,Administration of Justice,751,Federal law enforcement activities,37788771928.44,
2019,3,750,Administration of Justice,752,Federal litigative and judicial activities,7910486434.63,
2019,3,750,Administration of Justice,753,Federal correctional activities,6100867309.83,
2019,3,750,Administration of Justice,754,Criminal justice assistance,3199183247.36,
2019,3,800,General Government,801,Legislative functions,473367388.97,
2019,3,800,General Government,802,Executive direction and management,315646224.98,
2019,3,800,General Government,803,Central fiscal operations,286736754439.82,
2019,3,800,General Government,804,General property and records management,21553037181.89,
2019,3,800,General Government,805,Central personnel management,34411835848.19,
2019,3,800,General Government,806,General purpose fiscal assistance,5909805684.22,
2019,3,800,General Government,808,Other general government,1840559805.74,
2019,3,900,Net Interest,901,Interest on Treasury debt securities (gross),456867933595.03,
2019,3,900,Net Interest,908,Other interest,9328868388.54,
2019,4,000,Governmental Receipts,000,Governmental Receipts,0.0,
2019,4,050,National Defense,051,Department of Defense-Military,925958376559.4,
2019,4,050,National Defense,053,Atomic energy defense activities,28918887002.01,
2019,4,050,National Defense,054,Defense-related activities,105684515844.01,
2019,4,150,International Affairs,151,International development and humanitarian assistance,31050759465.9,
2019,4,150,International Affairs,152,International security assistance,13684552032.59,
2019,4,150,International Affairs,153,Conduct of foreign affairs,26387003584.22,
2019,4,150,International Affairs,154,Foreign information and exchange activities,1785176693.89,
2019,4,150,International Affairs,155,International financial programs,56541414457.43,
2019,4,250,"General Science, Space, and Technology",251,General science and basic research,15790985165.17,
2019,4,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",23240773910.25,
2019,4,270,Energy,271,Energy supply,19270941444.43,
2019,4,270,Energy,272,Energy conservation,2465196638.84,
2019,4,270,Energy,274,Emergency energy preparedness,566606022.37,
2019,4,270,Energy,276,"Energy information, policy, and regulation",1969440482.87,
2019,4,300,Natural Resources and Environment,301,Water resources,27843147119.01,
2019,4,300,Natural Resources and Environment,302,Conservation and land management,17602966656.53,
2019,4,300,Natural Resources and Environment,303,Recreational resources,5266746223.81,
2019,4,300,Natural Resources and Environment,304,Pollution control and abatement,11434465802.08,
2019,4,300,Natural Resources and Environment,306,Other natural resources,10745186156.32,
2019,4,350,Agriculture,351,Farm income stabilization,32574440071.28,
2019,4,350,Agriculture,352,Agricultural research and services,8086861970.4,
2019,4,370,Commerce and Housing Credit,371,Mortgage credit,9783876738.49,
2019,4,370,Commerce and Housing Credit,373,Deposit insurance,2956965740.44,
2019,4,370,Commerce and Housing Credit,376,Other advancement of commerce,39968346579.08,
2019,4,400,Transportation,401,Ground transportation,67823804691.95,
2019,4,400,Transportation,402,Air transportation,37628254759.32,
2019,4,400,Transportation,403,Water transportation,13365987417.21,
2019,4,400,Transportation,407,Other transportation,1545757666.37,
2019,4,450,Community and Regional Development,451,Community development,7040771671.8,
2019,4,450,Community and Regional Development,452,Area and regional development,28155904407.41,
2019,4,450,Community and Regional Development,453,Disaster relief and insurance,26072833464.35,
2019,4,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",41994567491.58,
2019,4,500,"Education, Training, Employment, and Social Services",502,Higher education,77425905666.88,
2019,4,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,2098405043.08,
2019,4,500,"Education, Training, Employment, and Social Services",504,Training and employment,9849144725.22,
2019,4,500,"Education, Training, Employment, and Social Services",505,Other labor services,2526161798.15,
2019,4,500,"Education, Training, Employment, and Social Services",506,Social services,21960671110.85,
2019,4,550,Health,551,Health care services,673819084513.36,
2019,4,550,Health,552,Health research and training,47091409675.31,
2019,4,550,Health,554,Consumer and occupational health and safety,8758957587.99,
2019,4,570,Medicare,571,Medicare,1166775735189.8,
2019,4,600,Income Security,601,General retirement and disability insurance (excluding social se,24502626145.78,
2019,4,600,Income Security,602,Federal employee retirement and disability,157498378741.77,
2019,4,600,Income Security,603,Unemployment compensation,31039205247.32,
2019,4,600,Income Security,604,Housing assistance,64522778148.74,
2019,4,600,Income Security,605,Food and nutrition assistance,95708317955.08,
2019,4,600,Income Security,609,Other income security,197216245448.99,
2019,4,650,Social Security,651,Social security,1096537331891.13,
2019,4,700,Veterans Benefits and Services,701,Income security for veterans,103483757102.56,
2019,4,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",14177183740.25,
2019,4,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,86195984163.96,
2019,4,700,Veterans Benefits and Services,704,Veterans housing,408825520.93,
2019,4,700,Veterans Benefits and Services,705,Other veterans benefits and services,13324616179.06,
2019,4,750,Administration of Justice,751,Federal law enforcement activities,54364175392.55,
2019,4,750,Administration of Justice,752,Federal litigative and judicial activities,10458542927.32,
2019,4,750,Administration of Justice,753,Federal correctional activities,8438040827.45,
2019,4,750,Administration of Justice,754,Criminal justice assistance,8961621898.8,
2019,4,800,General Government,801,Legislative functions,642292633.49,
2019,4,800,General Government,802,Executive direction and management,510055150.97,
2019,4,800,General Government,803,Central fiscal operations,314465611055.48,
2019,4,800,General Government,804,General property and records management,31697858482.39,
2019,4,800,General Government,805,Central personnel management,46081751534.54,
2019,4,800,General Government,806,General purpose fiscal assistance,7842719117.98,
2019,4,800,General Government,808,Other general government,2366774442.96,
2019,4,900,Net Interest,901,Interest on Treasury debt securities (gross),572913097834.96,
2019,4,900,Net Interest,908,Other interest,14202805052.88,
2020,1,000,Governmental Receipts,000,Governmental Receipts,0.0,
2020,1,050,National Defense,051,Department of Defense-Military,226216891401.0,
2020,1,050,National Defense,053,Atomic energy defense activities,5935002064.85,
2020,1,050,National Defense,054,Defense-related activities,100888401198.01,
2020,1,150,International Affairs,151,International development and humanitarian assistance,4603839905.29,
2020,1,150,International Affairs,152,International security assistance,756559109.52,
2020,1,150,International Affairs,153,Conduct of foreign affairs,3840448066.85,
2020,1,150,International Affairs,154,Foreign information and exchange activities,255630110.18,
2020,1,150,International Affairs,155,International financial programs,705811570.3,
2020,1,250,"General Science, Space, and Technology",251,General science and basic research,1942845072.13,
2020,1,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",4524913237.31,
2020,1,270,Energy,271,Energy supply,2417636932.79,
2020,1,270,Energy,272,Energy conservation,390686460.66,
2020,1,270,Energy,274,Emergency energy preparedness,64978184.13,
2020,1,270,Energy,276,"Energy information, policy, and regulation",336533877.45,
2020,1,300,Natural Resources and Environment,301,Water resources,7533318376.86,
2020,1,300,Natural Resources and Environment,302,Conservation and land management,3052840209.48,
2020,1,300,Natural Resources and Environment,303,Recreational resources,822656437.27,
2020,1,300,Natural Resources and Environment,304,Pollution control and abatement,1571880621.06,
2020,1,300,Natural Resources and Environment,306,Other natural resources,1687582709.12,
2020,1,350,Agriculture,351,Farm income stabilization,12699847699.94,
2020,1,350,Agriculture,352,Agricultural research and services,1492634582.81,
2020,1,370,Commerce and Housing Credit,371,Mortgage credit,749908133.91,
2020,1,370,Commerce and Housing Credit,373,Deposit insurance,1006534138.73,
2020,1,370,Commerce and Housing Credit,376,Other advancement of commerce,11493175003.82,
2020,1,400,Transportation,401,Ground transportation,5592722080.05,
2020,1,400,Transportation,402,Air transportation,8239627069.53,
2020,1,400,Transportation,403,Water transportation,2722044141.59,
2020,1,400,Transportation,407,Other transportation,304722407.19,
2020,1,450,Community and Regional Development,451,Community development,987267710.49,
2020,1,450,Community and Regional Development,452,Area and regional development,9025569654.08,
2020,1,450,Community and Regional Development,453,Disaster relief and insurance,3382207595.56,
2020,1,500,"Education, Training, Employment, and Social Services",501,"Elementary, secondary, and vocational education",23092538739.14,
2020,1,500,"Education, Training, Employment, and Social Services",502,Higher education,3190133846.78,
2020,1,500,"Education, Training, Employment, and Social Services",503,Research and general education aids,673221818.07,
2020,1,500,"Education, Training, Employment, and Social Services",504,Training and employment,2667279410.59,
2020,1,500,"Education, Training, Employment, and Social Services",505,Other labor services,593656616.61,
2020,1,500,"Education, Training, Employment, and Social Services",506,Social services,2797566846.74,
2020,1,550,Health,551,Health care services,171884164299.47,
2020,1,550,Health,552,Health research and training,5186117183.32,
2020,1,550,Health,554,Consumer and occupational health and safety,1914292568.31,
2020,1,570,Medicare,571,Medicare,295809070860.69,
2020,1,600,Income Security,601,General retirement and disability insurance (excluding social se,6028892764.57,
2020,1,600,Income Security,602,Federal employee retirement and disability,39851031230.93,
2020,1,600,Income Security,603,Unemployment compensation,7381487221.04,
2020,1,600,Income Security,604,Housing assistance,15602512685.2,
2020,1,600,Income Security,605,Food and nutrition assistance,31870793210.62,
2020,1,600,Income Security,609,Other income security,34001128627.03,
2020,1,650,Social Security,651,Social security,280923840083.9,
2020,1,700,Veterans Benefits and Services,701,Income security for veterans,27429031642.23,
2020,1,700,Veterans Benefits and Services,702,"Veterans education, training, and rehabilitation",3749168918.19,
2020,1,700,Veterans Benefits and Services,703,Hospital and medical care for veterans,23206949274.03,
2020,1,700,Veterans Benefits and Services,704,Veterans housing,38481330.5,
2020,1,700,Veterans Benefits and Services,705,Other veterans benefits and services,3582950054.7,
2020,1,750,Administration of Justice,751,Federal law enforcement activities,12203787744.6,
2020,1,750,Administration of Justice,752,Federal litigative and judicial activities,1766641690.92,
2020,1,750,Administration of Justice,753,Federal correctional activities,2110692092.17,
2020,1,750,Administration of Justice,754,Criminal justice assistance,754397384.23,
2020,1,800,General Government,801,Legislative functions,166346055.86,
2020,1,800,General Government,802,Executive direction and management,130737534.66,
2020,1,800,General Government,803,Central fiscal operations,38780497502.26,
2020,1,800,General Government,804,General property and records management,23622971566.8,
2020,1,800,General Government,805,Central personnel management,11122351170.83,
2020,1,800,General Government,806,General purpose fiscal assistance,1513508163.37,
2020,1,800,General Government,808,Other general government,585414529.08,
2020,1,900,Net Interest,901,Interest on Treasury debt securities (gross),160187094951.04,
2020,1,900,Net Interest,908,Other interest,3155342299.77,
2020,2,000,Governmental Receipts,000,Governmental Receipts,0.0,
2020,2,050,National Defense,051,Department of Defense-Military,493520910209.81,
2020,2,050,National Defense,053,Atomic energy defense activities,21089452130.45,
2020,2,050,National Defense,054,Defense-related activities,104493817330.44,
2020,2,150,International Affairs,151,International development and humanitarian assistance,11384675946.01,
2020,2,150,International Affairs,152,International security assistance,1122346512.7,
2020,2,150,International Affairs,153,Conduct of foreign affairs,11514220201.27,
2020,2,150,International Affairs,154,Foreign information and exchange activities,925440783.68,
2020,2,150,International Affairs,155,International financial programs,735763648.93,
2020,2,250,"General Science, Space, and Technology",251,General science and basic research,6264734029.01,
2020,2,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",12410049884.08,
2020,2,270,Energy,271,Energy supply,7108142824.96,
2020,2,270,Energy,272,Energy conservation,968989880.16,
2020,2,270,Energy,274,Emergency energy preparedness,121365652.75,
2020,2,270,Energy,276,"Energy information, policy, and regulation",848174080.11,
2020,2,300,Natural Resources and Environment,301,Water resources,13816640012.9,
2020,2,300,Natural Resources and Environment,302,Conservation and land management,7811132174.42,
2020,2,300,Natural Resources and Environment,303,Recreational resources,2025584207.39,
2020,2,300,Natural Resources and Environment,304,Pollution control and abatement,4171251961.27,
2020,2,300,Natural Resources and Environment,306,Other natural resources,4010363712.1,
2020,2,350,Agriculture,351,Farm income stabilization,18327372673.8,
2020,2,350,Agriculture,352,Agricultural research and services,3222405181.83,
2020,2,370,Commerce and Housing Credit,371,Mortgage credit,2555365627.11,
