code,name,amount,population,fy,quarter,geo_layer
AL,Alabama,12744646347.97,5024279.0,2020,1,state
AL,Alabama,13044360509.98,5024279.0,2020,2,state
AL,Alabama,22970799337.36,5024279.0,2020,3,state
AL,Alabama,14689050573.03,5024279.0,2020,4,state
AL,Alabama,12887957323.22,5024279.0,2021,1,state
AL,Alabama,20417582244.12,5024279.0,2021,2,state
AL,Alabama,20478347346.87,5024279.0,2021,3,state
AL,Alabama,16471384014.88,5024279.0,2021,4,state
AL,Alabama,14074830914.7,5024279.0,2022,1,state
AL,Alabama,13112346462.77,5024279.0,2022,2,state
AL,Alabama,15433661753.42,5024279.0,2022,3,state
AL,Alabama,18169772048.08,5024279.0,2022,4,state
AL,Alabama,14379793401.14,5024279.0,2023,1,state
AL,Alabama,17648256441.9,5024279.0,2023,2,state
AL,Alabama,15174711100.66,5024279.0,2023,3,state
AL,Alabama,17050375489.54,5024279.0,2023,4,state
AL,Alabama,14528535298.13,5024279.0,2024,1,state
AL,Alabama,14916885554.76,5024279.0,2024,2,state
AL,Alabama,18050491702.45,5024279.0,2024,3,state
AL,Alabama,18887193182.78,5024279.0,2024,4,state
AR,Arkansas,3173310488.97,3011524.0,2008,1,state
AR,Arkansas,3353757001.57,3011524.0,2008,2,state
AR,Arkansas,3269150297.78,3011524.0,2008,3,state
AR,Arkansas,3790241037.95,3011524.0,2008,4,state
AR,Arkansas,4783087340.24,3011524.0,2009,1,state
AR,Arkansas,5189588054.16,3011524.0,2009,2,state
AR,Arkansas,5821595764.06,3011524.0,2009,3,state
AR,Arkansas,7078559801.31,3011524.0,2009,4,state
AR,Arkansas,5760306095.53,3011524.0,2010,1,state
AR,Arkansas,4829809738.61,3011524.0,2010,2,state
AR,Arkansas,4238796683.32,3011524.0,2010,3,state
AR,Arkansas,4543024489.54,3011524.0,2010,4,state
AR,Arkansas,4790389660.12,3011524.0,2011,1,state
AR,Arkansas,4478110808.43,3011524.0,2011,2,state
AR,Arkansas,4850518920.41,3011524.0,2011,3,state
AR,Arkansas,4693975113.86,3011524.0,2011,4,state
AR,Arkansas,7197644628.24,3011524.0,2012,1,state
AR,Arkansas,7124451556.46,3011524.0,2012,2,state
AR,Arkansas,7342707949.11,3011524.0,2012,3,state
AR,Arkansas,6707559920.15,3011524.0,2012,4,state
AR,Arkansas,5312479869.91,3011524.0,2013,1,state
AR,Arkansas,4677055046.7,3011524.0,2013,2,state
AR,Arkansas,4974550163.15,3011524.0,2013,3,state
AR,Arkansas,6003836601.53,3011524.0,2013,4,state
AR,Arkansas,4988611605.69,3011524.0,2014,1,state
AR,Arkansas,4579831752.64,3011524.0,2014,2,state
AR,Arkansas,4956792037.85,3011524.0,2014,3,state
AR,Arkansas,6451442555.13,3011524.0,2014,4,state
AR,Arkansas,6149902966.43,3011524.0,2015,1,state
AR,Arkansas,5241308146.66,3011524.0,2015,2,state
AR,Arkansas,5333696933.84,3011524.0,2015,3,state
AR,Arkansas,6246496029.8,3011524.0,2015,4,state
AR,Arkansas,6558477737.69,3011524.0,2016,1,state
AR,Arkansas,5395654611.92,3011524.0,2016,2,state
AR,Arkansas,5410132561.95,3011524.0,2016,3,state
AR,Arkansas,6196933988.03,3011524.0,2016,4,state
AR,Arkansas,6554750161.95,3011524.0,2017,1,state
AR,Arkansas,5731104090.93,3011524.0,2017,2,state
AR,Arkansas,5529501512.32,3011524.0,2017,3,state
AR,Arkansas,6135104096.25,3011524.0,2017,4,state
AR,Arkansas,6364293894.45,3011524.0,2018,1,state
AR,Arkansas,5655076077.48,3011524.0,2018,2,state
AR,Arkansas,5814058108.16,3011524.0,2018,3,state
AR,Arkansas,6317435710.46,3011524.0,2018,4,state
AR,Arkansas,6422071688.66,3011524.0,2019,1,state
AR,Arkansas,5853562366.58,3011524.0,2019,2,state
AR,Arkansas,6489088000.89,3011524.0,2019,3,state
AR,Arkansas,6686661744.2,3011524.0,2019,4,state
AR,Arkansas,7378011554.0,3011524.0,2020,1,state
AR,Arkansas,6508209276.38,3011524.0,2020,2,state
AR,Arkansas,12150948587.63,3011524.0,2020,3,state
AR,Arkansas,7647515885.89,3011524.0,2020,4,state
AR,Arkansas,7052852800.43,3011524.0,2021,1,state
AR,Arkansas,10769227163.91,3011524.0,2021,2,state
AR,Arkansas,11297197570.39,3011524.0,2021,3,state
AR,Arkansas,8097251772.24,3011524.0,2021,4,state
AR,Arkansas,7222610053.3,3011524.0,2022,1,state
AR,Arkansas,7165246880.98,3011524.0,2022,2,state
AR,Arkansas,8097352365.3,3011524.0,2022,3,state
AR,Arkansas,8932369390.43,3011524.0,2022,4,state
AR,Arkansas,7247761544.05,3011524.0,2023,1,state
AR,Arkansas,8193262279.78,3011524.0,2023,2,state
AR,Arkansas,7713781635.05,3011524.0,2023,3,state
AR,Arkansas,8719772366.64,3011524.0,2023,4,state
AR,Arkansas,7240822883.13,3011524.0,2024,1,state
AR,Arkansas,7036474159.69,3011524.0,2024,2,state
AR,Arkansas,7649712472.77,3011524.0,2024,3,state
AR,Arkansas,9642173673.98,3011524.0,2024,4,state
AS,American Samoa,36423734.36,49710.0,2008,1,state
AS,American Samoa,29529387.87,49710.0,2008,2,state
AS,American Samoa,18989042.4,49710.0,2008,3,state
AS,American Samoa,60100322.2,49710.0,2008,4,state
AS,American Samoa,33938482.48,49710.0,2009,1,state
AS,American Samoa,26811429.6,49710.0,2009,2,state
AS,American Samoa,68945811.94,49710.0,2009,3,state
AS,American Samoa,77870225.17,49710.0,2009,4,state
AS,American Samoa,93372135.59,49710.0,2010,1,state
AS,American Samoa,76019229.94,49710.0,2010,2,state
AS,American Samoa,91324086.58,49710.0,2010,3,state
AS,American Samoa,180163686.37,49710.0,2010,4,state
AS,American Samoa,81418554.47,49710.0,2011,1,state
AS,American Samoa,59921273.26,49710.0,2011,2,state
AS,American Samoa,40164777.34,49710.0,2011,3,state
AS,American Samoa,62203077.31,49710.0,2011,4,state
AS,American Samoa,55395601.27,49710.0,2012,1,state
AS,American Samoa,76454140.81,49710.0,2012,2,state
AS,American Samoa,35895393.83,49710.0,2012,3,state
AS,American Samoa,60169601.51,49710.0,2012,4,state
AS,American Samoa,49531150.53,49710.0,2013,1,state
AS,American Samoa,24432837.57,49710.0,2013,2,state
AS,American Samoa,35821081.96,49710.0,2013,3,state
AS,American Samoa,75450425.25,49710.0,2013,4,state
AS,American Samoa,67555416.15,49710.0,2014,1,state
AS,American Samoa,92984415.43,49710.0,2014,2,state
AS,American Samoa,33399600.2,49710.0,2014,3,state
AS,American Samoa,87663855.36,49710.0,2014,4,state
AS,American Samoa,46927668.07,49710.0,2015,1,state
AS,American Samoa,73510391.78,49710.0,2015,2,state
AS,American Samoa,44119676.69,49710.0,2015,3,state
AS,American Samoa,65074081.89,49710.0,2015,4,state
AS,American Samoa,51565420.84,49710.0,2016,1,state
AS,American Samoa,59602184.88,49710.0,2016,2,state
AS,American Samoa,59784674.26,49710.0,2016,3,state
AS,American Samoa,99439122.87,49710.0,2016,4,state
AS,American Samoa,105800932.04,49710.0,2017,1,state
AS,American Samoa,32314182.91,49710.0,2017,2,state
AS,American Samoa,60154148.89,49710.0,2017,3,state
AS,American Samoa,86753593.01,49710.0,2017,4,state
AS,American Samoa,64561721.69,49710.0,2018,1,state
AS,American Samoa,49561310.21,49710.0,2018,2,state
AS,American Samoa,111477288.03,49710.0,2018,3,state
AS,American Samoa,117360764.49,49710.0,2018,4,state
AS,American Samoa,88881662.45,49710.0,2019,1,state
AS,American Samoa,56341213.46,49710.0,2019,2,state
AS,American Samoa,103496980.29,49710.0,2019,3,state
AS,American Samoa,236670042.83,49710.0,2019,4,state
AS,American Samoa,123369137.62,49710.0,2020,1,state
AS,American Samoa,132887115.02,49710.0,2020,2,state
AS,American Samoa,199832582.11,49710.0,2020,3,state
AS,American Samoa,124589432.2,49710.0,2020,4,state
AS,American Samoa,158624976.51,49710.0,2021,1,state
AS,American Samoa,223325096.85,49710.0,2021,2,state
AS,American Samoa,892261859.49,49710.0,2021,3,state
AS,American Samoa,133289598.06,49710.0,2021,4,state
AS,American Samoa,175423859.34,49710.0,2022,1,state
AS,American Samoa,97324625.07,49710.0,2022,2,state
AS,American Samoa,59100139.46,49710.0,2022,3,state
AS,American Samoa,205932786.34,49710.0,2022,4,state
AS,American Samoa,178928803.5,49710.0,2023,1,state
AS,American Samoa,76233125.45,49710.0,2023,2,state
AS,American Samoa,73610634.52,49710.0,2023,3,state
AS,American Samoa,165016800.1,49710.0,2023,4,state
AS,American Samoa,204976021.18,49710.0,2024,1,state
AS,American Samoa,45239937.38,49710.0,2024,2,state
AS,American Samoa,55562270.28,49710.0,2024,3,state
AS,American Samoa,191398964.3,49710.0,2024,4,state
AZ,Arizona,8887022213.39,7151502.0,2008,1,state
AZ,Arizona,8797380026.96,7151502.0,2008,2,state
AZ,Arizona,8183212473.28,7151502.0,2008,3,state
AZ,Arizona,9822005036.45,7151502.0,2008,4,state
AZ,Arizona,11007635143.03,7151502.0,2009,1,state
AZ,Arizona,11444437875.21,7151502.0,2009,2,state
AZ,Arizona,13722458949.37,7151502.0,2009,3,state
AZ,Arizona,15253858274.12,7151502.0,2009,4,state
AZ,Arizona,12993315746.95,7151502.0,2010,1,state
AZ,Arizona,12122624954.8,7151502.0,2010,2,state
AZ,Arizona,10367328530.62,7151502.0,2010,3,state
AZ,Arizona,12233054018.81,7151502.0,2010,4,state
AZ,Arizona,12258577862.98,7151502.0,2011,1,state
AZ,Arizona,11515600181.89,7151502.0,2011,2,state
AZ,Arizona,12684305588.97,7151502.0,2011,3,state
AZ,Arizona,15003531765.34,7151502.0,2011,4,state
AZ,Arizona,13649750199.7,7151502.0,2012,1,state
AZ,Arizona,16007756487.11,7151502.0,2012,2,state
AZ,Arizona,13537443388.62,7151502.0,2012,3,state
AZ,Arizona,14536477485.75,7151502.0,2012,4,state
AZ,Arizona,14355760977.57,7151502.0,2013,1,state
AZ,Arizona,13916159476.26,7151502.0,2013,2,state
AZ,Arizona,15160973963.47,7151502.0,2013,3,state
AZ,Arizona,18258670333.58,7151502.0,2013,4,state
AZ,Arizona,13892542410.31,7151502.0,2014,1,state
AZ,Arizona,13466363769.62,7151502.0,2014,2,state
AZ,Arizona,15998945968.75,7151502.0,2014,3,state
AZ,Arizona,15981721561.18,7151502.0,2014,4,state
AZ,Arizona,17568171928.2,7151502.0,2015,1,state
AZ,Arizona,15755974727.57,7151502.0,2015,2,state
AZ,Arizona,15328495701.28,7151502.0,2015,3,state
AZ,Arizona,16000666522.89,7151502.0,2015,4,state
AZ,Arizona,18334902114.48,7151502.0,2016,1,state
AZ,Arizona,17196235249.7,7151502.0,2016,2,state
AZ,Arizona,17333312039.32,7151502.0,2016,3,state
AZ,Arizona,20460633703.16,7151502.0,2016,4,state
AZ,Arizona,18502738476.6,7151502.0,2017,1,state
AZ,Arizona,19701206126.02,7151502.0,2017,2,state
AZ,Arizona,18209339268.07,7151502.0,2017,3,state
AZ,Arizona,20265949109.5,7151502.0,2017,4,state
AZ,Arizona,17048238668.1,7151502.0,2018,1,state
AZ,Arizona,19255735890.05,7151502.0,2018,2,state
AZ,Arizona,19943126354.46,7151502.0,2018,3,state
AZ,Arizona,21909479246.28,7151502.0,2018,4,state
AZ,Arizona,20338184713.57,7151502.0,2019,1,state
AZ,Arizona,18259841047.61,7151502.0,2019,2,state
AZ,Arizona,21581838729.77,7151502.0,2019,3,state
AZ,Arizona,22797054853.07,7151502.0,2019,4,state
AZ,Arizona,24828455307.47,7151502.0,2020,1,state
AZ,Arizona,21984696328.02,7151502.0,2020,2,state
AZ,Arizona,40639990155.45,7151502.0,2020,3,state
AZ,Arizona,33581502129.88,7151502.0,2020,4,state
AZ,Arizona,22628119612.57,7151502.0,2021,1,state
AZ,Arizona,32584177902.46,7151502.0,2021,2,state
AZ,Arizona,38256462730.65,7151502.0,2021,3,state
AZ,Arizona,28940731651.53,7151502.0,2021,4,state
AZ,Arizona,24300406663.91,7151502.0,2022,1,state
AZ,Arizona,25814511214.12,7151502.0,2022,2,state
AZ,Arizona,26313819047.76,7151502.0,2022,3,state
AZ,Arizona,30374001400.09,7151502.0,2022,4,state
AZ,Arizona,23723165574.14,7151502.0,2023,1,state
AZ,Arizona,31782527343.8,7151502.0,2023,2,state
AZ,Arizona,26168475033.48,7151502.0,2023,3,state
AZ,Arizona,28630414932.58,7151502.0,2023,4,state
AZ,Arizona,22691178584.59,7151502.0,2024,1,state
AZ,Arizona,20728578946.32,7151502.0,2024,2,state
AZ,Arizona,22850426987.46,7151502.0,2024,3,state
AZ,Arizona,32489116090.3,7151502.0,2024,4,state
CA,California,41889794330.71,39538223.0,2008,1,state
CA,California,43310707388.77,39538223.0,2008,2,state
CA,California,39937607916.01,39538223.0,2008,3,state
CA,California,50023413684.65,39538223.0,2008,4,state
CA,California,65593705395.01,39538223.0,2009,1,state
CA,California,55927090017.44,39538223.0,2009,2,state
CA,California,71964993639.54,39538223.0,2009,3,state
CA,California,82716730195.72,39538223.0,2009,4,state
CA,California,66047684109.46,39538223.0,2010,1,state
CA,California,63348551084.48,39538223.0,2010,2,state
CA,California,49716856214.48,39538223.0,2010,3,state
CA,California,55358284930.71,39538223.0,2010,4,state
CA,California,66307619250.29,39538223.0,2011,1,state
CA,California,63330552384.87,39538223.0,2011,2,state
CA,California,69556746953.3,39538223.0,2011,3,state
CA,California,75194293908.79,39538223.0,2011,4,state
CA,California,63163558986.53,39538223.0,2012,1,state
CA,California,82407530423.3,39538223.0,2012,2,state
CA,California,70448887994.67,39538223.0,2012,3,state
CA,California,70470640588.74,39538223.0,2012,4,state
CA,California,71648501180.64,39538223.0,2013,1,state
CA,California,69208446268.04,39538223.0,2013,2,state
CA,California,74776059648.06,39538223.0,2013,3,state
CA,California,81801510171.23,39538223.0,2013,4,state
CA,California,60335180480.0,39538223.0,2014,1,state
CA,California,58722908745.23,39538223.0,2014,2,state
CA,California,61029589114.06,39538223.0,2014,3,state
CA,California,71770637124.86,39538223.0,2014,4,state
CA,California,73673904883.1,39538223.0,2015,1,state
CA,California,72474175638.55,39538223.0,2015,2,state
CA,California,65953991703.9,39538223.0,2015,3,state
CA,California,61309525882.01,39538223.0,2015,4,state
CA,California,77142756232.85,39538223.0,2016,1,state
CA,California,75020262783.98,39538223.0,2016,2,state
CA,California,65686866367.25,39538223.0,2016,3,state
CA,California,81780673553.94,39538223.0,2016,4,state
CA,California,80094664909.98,39538223.0,2017,1,state
CA,California,74066385114.04,39538223.0,2017,2,state
CA,California,70970755607.78,39538223.0,2017,3,state
CA,California,84386375295.44,39538223.0,2017,4,state
CA,California,71751181553.83,39538223.0,2018,1,state
CA,California,76997715985.62,39538223.0,2018,2,state
CA,California,84474087455.33,39538223.0,2018,3,state
CA,California,78560158356.22,39538223.0,2018,4,state
CA,California,78230337858.08,39538223.0,2019,1,state
CA,California,77686268787.95,39538223.0,2019,2,state
CA,California,75599617376.25,39538223.0,2019,3,state
CA,California,80116194551.97,39538223.0,2019,4,state
CA,California,78840101061.9,39538223.0,2020,1,state
CA,California,85163358748.27,39538223.0,2020,2,state
CA,California,187739391779.09,39538223.0,2020,3,state
CA,California,111654702011.88,39538223.0,2020,4,state
CA,California,86048809801.59,39538223.0,2021,1,state
CA,California,152658447295.41,39538223.0,2021,2,state
CA,California,164146389810.94,39538223.0,2021,3,state
CA,California,107515628667.15,39538223.0,2021,4,state
CA,California,107075238021.55,39538223.0,2022,1,state
CA,California,96102315094.64,39538223.0,2022,2,state
CA,California,106206969266.02,39538223.0,2022,3,state
CA,California,115908286317.11,39538223.0,2022,4,state
CA,California,92282431041.81,39538223.0,2023,1,state
CA,California,114304635461.76,39538223.0,2023,2,state
CA,California,102745080555.37,39538223.0,2023,3,state
CA,California,114721742517.96,39538223.0,2023,4,state
CA,California,95367266359.05,39538223.0,2024,1,state
CA,California,110016662422.93,39538223.0,2024,2,state
CA,California,113905600802.25,39538223.0,2024,3,state
CA,California,125284853514.65,39538223.0,2024,4,state
CO,Colorado,4603815280.82,5773714.0,2008,1,state
CO,Colorado,5343280523.69,5773714.0,2008,2,state
CO,Colorado,5525490139.56,5773714.0,2008,3,state
CO,Colorado,6619751666.27,5773714.0,2008,4,state
CO,Colorado,7390479433.4,5773714.0,2009,1,state
CO,Colorado,6281920841.44,5773714.0,2009,2,state
CO,Colorado,8359194725.8,5773714.0,2009,3,state
CO,Colorado,10456602840.41,5773714.0,2009,4,state
CO,Colorado,9272633875.23,5773714.0,2010,1,state
CO,Colorado,8598952632.2,5773714.0,2010,2,state
CO,Colorado,6746032430.66,5773714.0,2010,3,state
CO,Colorado,8430982235.41,5773714.0,2010,4,state
CO,Colorado,7397763614.41,5773714.0,2011,1,state
CO,Colorado,7204401426.08,5773714.0,2011,2,state
CO,Colorado,8319428618.98,5773714.0,2011,3,state
CO,Colorado,9552237508.28,5773714.0,2011,4,state
CO,Colorado,8719783504.24,5773714.0,2012,1,state
CO,Colorado,9457775253.25,5773714.0,2012,2,state
CO,Colorado,7677018554.02,5773714.0,2012,3,state
CO,Colorado,10085759483.96,5773714.0,2012,4,state
CO,Colorado,9398581101.09,5773714.0,2013,1,state
CO,Colorado,7131740531.36,5773714.0,2013,2,state
CO,Colorado,8559306567.09,5773714.0,2013,3,state
CO,Colorado,10110286595.16,5773714.0,2013,4,state
CO,Colorado,9201089955.98,5773714.0,2014,1,state
CO,Colorado,8271860831.65,5773714.0,2014,2,state
CO,Colorado,8969154307.22,5773714.0,2014,3,state
CO,Colorado,9724343191.15,5773714.0,2014,4,state
CO,Colorado,8793449872.43,5773714.0,2015,1,state
CO,Colorado,9870178806.33,5773714.0,2015,2,state
CO,Colorado,8483408112.46,5773714.0,2015,3,state
CO,Colorado,10031102883.75,5773714.0,2015,4,state
CO,Colorado,10288204369.81,5773714.0,2016,1,state
CO,Colorado,9893310405.26,5773714.0,2016,2,state
CO,Colorado,9023861566.81,5773714.0,2016,3,state
CO,Colorado,10745752667.24,5773714.0,2016,4,state
CO,Colorado,10894275838.06,5773714.0,2017,1,state
CO,Colorado,9167185754.91,5773714.0,2017,2,state
CO,Colorado,9914883214.96,5773714.0,2017,3,state
CO,Colorado,11454908668.53,5773714.0,2017,4,state
